VM Name,Host,IP Addresses,Cores,Memory Capacity,Storage,Controller Read IOPS,Controller Write IOPS,Controller IO Bandwidth,Backup and Recovery Capable,Flash Mode,CPU Usage,Memory Usage,Controller Avg IO Latency,Timestamp
BB-CACTI03,NTNX-J30212D6-A/AHV,10.5.11.138 | 192.168.60.6,8,8 GiB,63.87 GiB / 120 GiB,0,0,4 KBps,Yes,No,98.09%,65.53%,6.10 ms,2025-04-22T09:33:53.521604
BB-CACTI04,NTNX-J30212D6-A/AHV,192.168.60.7 | 10.5.11.141,2,3 GiB,4 GiB / 40 GiB,0,9,54 KBps,Yes,No,78.13%,18.21%,8.64 ms,2025-04-22T09:33:53.521604
BB-CACTI04-bis,NTNX-J30212D6-A/AHV,192.168.60.10 | 10.5.11.135,4,4 GiB,7.83 GiB / 40 GiB,0,0,1 KBps,Yes,No,52.16%,17.38%,6.24 ms,2025-04-22T09:33:53.521604
BB-CACTI04-Clone20042021,,,2,3 GiB,3.19 GiB / 40 GiB,-,-,-,Yes,No,79.37%,33.58%,4.35 ms,2025-04-22T09:33:53.521604
BB-CACTI05,,,2,4 GiB,17.64 GiB / 30 GiB,-,-,-,Yes,No,35.61%,71.20%,9.37 ms,2025-04-22T09:33:53.521604
BB-CACTI06,NTNX-J30212D6-A/AHV,192.168.60.19 | 10.4.11.11,6,3 GiB,47.24 GiB / 60 GiB,0,1,5 KBps,Yes,No,5.08%,35.80%,7.55 ms,2025-04-22T09:33:53.521604
BB-CACTI07,NTNX-J3014837-A/AHV,10.5.11.139 | 192.168.60.8,4,8 GiB,8.28 GiB / 60 GiB,0,9,49 KBps,Yes,No,58.32%,84.96%,8.04 ms,2025-04-22T09:33:53.521604
BB-CACTI07-Clone20042021,,,4,8 GiB,6.77 GiB / 60 GiB,-,-,-,Yes,No,23.96%,92.27%,5.56 ms,2025-04-22T09:33:53.521604
BB-CACTI11,NTNX-J3014836-A/AHV,172.30.9.212 | 10.12.11.20,4,4 GiB,5.02 GiB / 20 GiB,0,0,4 KBps,Yes,No,95.30%,54.60%,9.81 ms,2025-04-22T09:33:53.521604
BB-CACTI12,NTNX-J30212D6-A/AHV,10.12.11.21 | 172.30.9.213,4,4 GiB,3.76 GiB / 20 GiB,0,0,0 KBps,Yes,No,12.91%,55.23%,4.07 ms,2025-04-22T09:33:53.521604
BB-ENERGIE01,NTNX-J3014837-A/AHV,10.0.4.6 | 192.168.60.164,4,3 GiB,39.44 GiB / 40 GiB,0,0,0 KBps,Yes,No,23.04%,28.03%,1.01 ms,2025-04-22T09:33:53.521604
BB-ENERGIE01-NEW,NTNX-J3014838-A/AHV,10.0.4.5 | 192.168.60.163,8,4 GiB,64.9 GiB / 65.64 GiB,0,1,15 KBps,Yes,No,76.48%,5.25%,7.79 ms,2025-04-22T09:33:53.521604
BB-FTP01,NTNX-J30212D6-A/AHV,192.168.60.23,4,8 GiB,11.72 GiB / 30.06 GiB,0,0,1 KBps,Yes,No,88.77%,17.65%,7.27 ms,2025-04-22T09:33:53.521604
BB-SLS01,,,8,12 GiB,2.11 TiB / 2.19 TiB,-,-,-,Yes,No,29.65%,70.05%,5.59 ms,2025-04-22T09:33:53.521604
BB-SMC-MGMT01,,,2,8 GiB,845.56 GiB / 900 GiB,-,-,-,Yes,No,34.81%,44.45%,3.60 ms,2025-04-22T09:33:53.521604
BB-SYSLOG01,NTNX-J3014837-A/AHV,172.22.3.2 | 10.5.11.98 | 172.30.8.203,4,24 GiB,626.71 GiB / 750 GiB,0,8,184 KBps,Yes,No,71.57%,64.41%,3.08 ms,2025-04-22T09:33:53.521604
BB-SYSLOG01,,,4,24 GiB,387.99 GiB / 700 GiB,-,-,-,Yes,No,49.10%,57.02%,5.09 ms,2025-04-22T09:33:53.521604
BB-SYSLOG01-19092023,,,4,24 GiB,- / 500 GiB,-,-,-,Yes,No,39.84%,98.48%,1.15 ms,2025-04-22T09:33:53.521604
BB-SYSLOG01-20102023,,,4,24 GiB,454.29 GiB / 750 GiB,-,-,-,Yes,No,46.82%,52.96%,9.80 ms,2025-04-22T09:33:53.521604
BB-WHATSUP-NEW2016,NTNX-J3014839-A/AHV,192.168.60.16,8,12 GiB,16.07 GiB / 125.64 GiB,0,0,0 KBps,Yes,No,86.90%,33.16%,6.96 ms,2025-04-22T09:33:53.521604
BB-WHATSUP-NEW2016-Clone,,,8,12 GiB,14.69 GiB / 125.64 GiB,-,-,-,Yes,No,8.97%,14.42%,9.03 ms,2025-04-22T09:33:53.521604
BB-WHATSUP02,,,2,4 GiB,25.17 GiB / 30.27 GiB,-,-,-,Yes,No,64.35%,95.71%,5.46 ms,2025-04-22T09:33:53.521604
BB-WHATSUP03,,,2,4 GiB,18.01 GiB / 30 GiB,-,-,-,Yes,No,27.16%,51.88%,8.24 ms,2025-04-22T09:33:53.521604
BB-WHATSUP04,,,2,4 GiB,33.73 GiB / 50 GiB,-,-,-,Yes,No,45.64%,92.70%,1.18 ms,2025-04-22T09:33:53.521604
BB-WHATSUP05,,,2,4 GiB,18.33 GiB / 30 GiB,-,-,-,Yes,No,45.74%,14.43%,7.16 ms,2025-04-22T09:33:53.521604
BB-WHATSUP06,,,8,6 GiB,43.53 GiB / 50 GiB,-,-,-,Yes,No,12.01%,9.79%,1.08 ms,2025-04-22T09:33:53.521604
CCISI-Communik-Contact-Backup,NTNX-J3014837-A/AHV,10.1.10.4 | 10.55.199.19 | 10.1.11.3,12,32 GiB,19.77 GiB / 350 GiB,0,10,56 KBps,Yes,No,7.76%,76.58%,8.06 ms,2025-04-22T09:33:53.521604
CCISI-Communik-Contact-Principal,NTNX-J302KCTX-A/AHV,10.55.199.26 | 10.1.11.2 | 10.55.199.18,12,32 GiB,40.57 GiB / 350 GiB,0,10,60 KBps,Yes,No,20.54%,48.32%,1.75 ms,2025-04-22T09:33:53.521604
CCISI-Communik-Contact-Principal-clone31102023,,,12,32 GiB,16.5 GiB / 350 GiB,-,-,-,Yes,No,13.22%,41.02%,8.47 ms,2025-04-22T09:33:53.521604
CP-Backup01,NTNX-J3014837-A/AHV,192.168.60.53,4,8 GiB,258.77 GiB / 305.65 GiB,0,0,3 KBps,Yes,No,3.86%,5.05%,1.95 ms,2025-04-22T09:33:53.521604
CP-Net,,,24,250 GiB,461.29 GiB / 0.98 TiB,-,-,-,Yes,No,44.72%,33.24%,8.66 ms,2025-04-22T09:33:53.521604
CP-Net-clone12082022,NTNX-J900RCNW-A/AHV,10.5.11.148 | 192.168.60.48,24,250 GiB,521.44 GiB / 0.98 TiB,2,25,503 KBps,Yes,No,52.44%,33.92%,3.55 ms,2025-04-22T09:33:53.521604
CP-Net-clone27092023,,,24,250 GiB,308.69 GiB / 0.98 TiB,-,-,-,Yes,No,73.77%,30.87%,2.97 ms,2025-04-22T09:33:53.521604
CP-Net-New,,,24,250 GiB,75.17 GiB / 1 TiB,-,-,-,Yes,No,1.78%,12.56%,6.28 ms,2025-04-22T09:33:53.521604
CP-Performance,NTNX-J9023FVL-A/AHV,10.5.11.153 | 192.168.60.50,10,64 GiB,211.92 GiB / 650 GiB,0,14,377 KBps,Yes,No,17.43%,98.61%,6.55 ms,2025-04-22T09:33:53.521604
CP-Performance-clone27062022,,,10,64 GiB,156.13 GiB / 650 GiB,-,-,-,Yes,No,98.65%,97.06%,5.62 ms,2025-04-22T09:33:53.521604
CP-Performance-clone27072022,,,10,64 GiB,211.7 GiB / 650 GiB,-,-,-,Yes,No,7.40%,32.54%,6.35 ms,2025-04-22T09:33:53.521604
CPE-MGMT01,NTNX-J30212D6-A/AHV,172.30.9.243,8,8 GiB,17.83 GiB / 105.65 GiB,0,0,2 KBps,Yes,No,78.17%,73.73%,3.91 ms,2025-04-22T09:33:53.521604
CYNOIA-VM01,NTNX-J3014837-A/AHV,172.30.58.11 | 172.22.3.106,2,8 GiB,18.49 GiB / 100 GiB,0,2,39 KBps,Yes,No,41.54%,28.65%,1.09 ms,2025-04-22T09:33:53.521604
DDI-DHCP01,NTNX-J3014837-A/AHV,172.31.74.51 | 172.31.74.92,4,8 GiB,3.04 GiB / 100 GiB,0,2,16 KBps,Yes,No,14.96%,95.88%,5.20 ms,2025-04-22T09:33:53.521604
DDI-DHCP01-clone-16062022,,,4,8 GiB,2.35 GiB / 100 GiB,-,-,-,Yes,No,47.77%,69.14%,2.10 ms,2025-04-22T09:33:53.521604
DDI-DHCP02,NTNX-J302KCTX-A/AHV,172.31.74.52,4,8 GiB,2.41 GiB / 100 GiB,0,0,1 KBps,Yes,No,58.78%,11.63%,2.27 ms,2025-04-22T09:33:53.521604
DDI-DHCP02-clone-16062022,,,4,8 GiB,- / 100 GiB,-,-,-,Yes,No,38.50%,92.79%,7.07 ms,2025-04-22T09:33:53.521604
DDI-DNS-AUTH-COM01,NTNX-J3014838-A/AHV,172.31.74.76 | 196.203.82.46,8,16 GiB,19.22 GiB / 200 GiB,0,3,27 KBps,Yes,No,5.93%,53.55%,9.89 ms,2025-04-22T09:33:53.521604
DDI-DNS-AUTH-PRV01,NTNX-J3014838-A/AHV,172.31.74.59 | 172.31.74.118,8,16 GiB,2.4 GiB / 200 GiB,0,0,2 KBps,Yes,No,45.74%,10.63%,6.15 ms,2025-04-22T09:33:53.521604
DDI-DNS-AUTH-PRV02,NTNX-J3014838-A/AHV,172.31.74.60 | 172.31.74.126,8,16 GiB,2.58 GiB / 200 GiB,0,0,2 KBps,Yes,No,50.29%,53.12%,4.60 ms,2025-04-22T09:33:53.521604
DDI-DNS-AUTH-TT01,NTNX-J30212D6-A/AHV,172.31.74.75 | 196.203.82.38,8,16 GiB,19.53 GiB / 200 GiB,0,4,32 KBps,Yes,No,96.80%,95.39%,9.60 ms,2025-04-22T09:33:53.521604
DDI-DNS-REC01,NTNX-J3014838-A/AHV,172.31.74.67 | 196.203.82.54,8,16 GiB,50.47 GiB / 200 GiB,0,0,2 KBps,Yes,No,38.34%,47.50%,9.99 ms,2025-04-22T09:33:53.521604
DDI-DNS-REC02,NTNX-J3014838-A/AHV,172.31.74.68 | 196.203.82.62,16,16 GiB,50.7 GiB / 200 GiB,0,0,1 KBps,Yes,No,35.49%,63.60%,7.41 ms,2025-04-22T09:33:53.521604
DDI-IPAM01,NTNX-J3014839-A/AHV,172.31.74.43,8,16 GiB,4.37 GiB / 600 GiB,0,0,4 KBps,Yes,No,59.32%,32.32%,6.47 ms,2025-04-22T09:33:53.521604
DDI-PERF-T-VM-K,,,4,8 GiB,3 GiB / 50 GiB,-,-,-,Yes,No,42.06%,41.77%,2.85 ms,2025-04-22T09:33:53.521604
DEDR-OSP_ADTRAN01,NTNX-J3014839-A/AHV,172.30.7.74 | 172.30.7.67,4,8 GiB,40.29 GiB / 120 GiB,0,2,67 KBps,Yes,No,73.75%,94.48%,4.87 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCADD01,NTNX-J9023FVL-A/AHV,172.31.114.133 | 172.31.114.165 | 172.31.114.195 | 172.31.114.203,16,32 GiB,5.99 GiB / 300 GiB,0,0,5 KBps,Yes,No,56.28%,42.13%,1.56 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCADD02,NTNX-J9023FVM-A/AHV,172.31.114.134 | 172.31.114.166 | 172.31.114.196 | 172.31.114.204,16,32 GiB,5.31 GiB / 300 GiB,0,1,8 KBps,Yes,No,53.36%,65.71%,2.36 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCADD03,NTNX-J9023FVM-A/AHV,172.31.114.135 | 172.31.114.167 | 172.31.114.211 | 172.31.114.219,16,32 GiB,21.8 GiB / 313.26 GiB,0,1,9 KBps,Yes,No,36.35%,71.38%,5.30 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCADD04,NTNX-J9023FVM-A/AHV,172.31.114.136 | 172.31.114.168 | 172.31.114.212 | 172.31.114.220,16,32 GiB,18.81 GiB / 313.26 GiB,0,0,1 KBps,Yes,No,99.67%,22.69%,5.83 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCDB01,NTNX-J9023FVL-A/AHV,172.31.114.139 | 172.31.114.171,32,64 GiB,19.24 GiB / 613.26 GiB,0,0,14 KBps,Yes,No,14.18%,37.63%,4.00 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCDMC01,NTNX-J9023FVL-A/AHV,172.31.114.131 | 172.31.114.163 | 172.31.114.243,32,48 GiB,83.4 GiB / 613.26 GiB,0,12,1.92 MBps,Yes,No,50.17%,97.80%,5.07 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCDMC02,NTNX-J9023FVL-A/AHV,172.31.114.132 | 172.31.114.164 | 172.31.114.244,32,48 GiB,62.35 GiB / 613.26 GiB,0,7,1.08 MBps,Yes,No,0.14%,75.43%,3.83 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCES01,NTNX-J9023FVM-A/AHV,172.31.114.138 | 172.31.114.170,16,32 GiB,20.4 GiB / 613.26 GiB,0,9,181 KBps,Yes,No,28.40%,75.16%,3.71 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCMMG01,NTNX-J9023FVL-A/AHV,172.31.114.137 | 172.31.114.169 | 172.31.114.227 | 172.31.114.245,8,16 GiB,19.02 GiB / 313.26 GiB,0,3,30 KBps,Yes,No,98.17%,82.96%,5.96 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCREP01,NTNX-J9023FVL-A/AHV,172.31.114.141 | 172.31.114.173,8,16 GiB,24.84 GiB / 613.26 GiB,0,4,43 KBps,Yes,No,90.89%,85.25%,5.63 ms,2025-04-22T09:33:53.521604
DMC4.6-LPCSAFER01,NTNX-J9023FVL-A/AHV,172.31.114.140 | 172.31.114.172 | 172.31.114.246,8,16 GiB,121.2 GiB / 613.26 GiB,0,0,1 KBps,Yes,No,29.95%,62.12%,7.48 ms,2025-04-22T09:33:53.521604
e-istichara-GW-SMS,,,4,4 GiB,2.35 GiB / 100 GiB,-,-,-,Yes,No,59.20%,26.19%,3.33 ms,2025-04-22T09:33:53.521604
e-istichara-GW-SMS-clone07012022,,,4,4 GiB,- / 100 GiB,-,-,-,Yes,No,43.19%,93.62%,3.66 ms,2025-04-22T09:33:53.521604
eSante-Backup,NTNX-J3014836-A/AHV,192.168.136.3,4,8 GiB,58.77 GiB / 60 GiB,0,0,14 KBps,Yes,No,93.33%,42.64%,9.63 ms,2025-04-22T09:33:53.521604
eSante-Wintax,NTNX-J3014839-A/AHV,192.168.136.4 | 172.22.3.103,8,32 GiB,247.39 GiB / 606.67 GiB,8,20,234 KBps,Yes,No,67.49%,9.47%,5.70 ms,2025-04-22T09:33:53.521604
ESIGHT01,NTNX-J30212D6-A/AHV,172.30.0.135 | 192.168.60.214,8,32 GiB,495.7 GiB / 600 GiB,0,37,497 KBps,Yes,No,27.80%,72.65%,9.52 ms,2025-04-22T09:33:53.521604
ESIGHT01-clone21062022-bis,,,8,32 GiB,493.89 GiB / 600 GiB,-,-,-,Yes,No,6.52%,89.58%,9.86 ms,2025-04-22T09:33:53.521604
ESIGHT01-SUSE12.5,NTNX-J3014839-A/AHV,192.168.60.213 | 172.30.0.140,24,32 GiB,354.49 GiB / 603.08 GiB,0,2,23 KBps,Yes,No,48.78%,11.80%,7.90 ms,2025-04-22T09:33:53.521604
ESIGHT01-SUSE12.5-clone09082022,,,24,32 GiB,7.86 GiB / 603.84 GiB,-,-,-,Yes,No,31.02%,84.46%,1.37 ms,2025-04-22T09:33:53.521604
ESIGHT02,,,8,32 GiB,423.03 GiB / 1 TiB,-,-,-,Yes,No,59.14%,87.87%,6.42 ms,2025-04-22T09:33:53.521604
EWSD-01,,,2,6 GiB,80.91 GiB / 90 GiB,-,-,-,Yes,No,32.00%,9.43%,8.89 ms,2025-04-22T09:33:53.521604
EWSD-02,,,2,6 GiB,18.2 GiB / 50 GiB,-,-,-,Yes,No,11.29%,72.88%,6.43 ms,2025-04-22T09:33:53.521604
FM-COGNOS,NTNX-J302KCTX-A/AHV,172.31.71.163,4,32 GiB,44.47 GiB / 80 GiB,0,0,4 KBps,Yes,No,93.34%,18.89%,2.65 ms,2025-04-22T09:33:53.521604
FM-DASH1,NTNX-J3014839-A/AHV,172.31.71.164,6,16 GiB,34.22 GiB / 130 GiB,0,0,6 KBps,Yes,No,40.25%,75.60%,2.73 ms,2025-04-22T09:33:53.521604
FM-DASH2,NTNX-J302KCTX-A/AHV,172.31.71.165,6,16 GiB,32.2 GiB / 130 GiB,0,0,5 KBps,Yes,No,44.87%,16.65%,4.02 ms,2025-04-22T09:33:53.521604
FM-DB1,NTNX-J30212D6-A/AHV,172.31.71.138,6,24 GiB,1.99 TiB / 2.1 TiB,0,7,229 KBps,Yes,No,39.98%,16.53%,8.68 ms,2025-04-22T09:33:53.521604
FM-DB2,NTNX-J302KCTX-A/AHV,172.31.71.139,6,24 GiB,2.02 TiB / 2.1 TiB,0,14,526 KBps,Yes,No,6.32%,50.69%,6.15 ms,2025-04-22T09:33:53.521604
fm-gate,NTNX-J3014839-A/AHV,193.95.52.19 | 172.31.71.142 | 172.31.71.174,12,8 GiB,8.64 GiB / 80 GiB,0,0,0 KBps,Yes,No,10.38%,20.42%,1.36 ms,2025-04-22T09:33:53.521604
FM-IMPACT,NTNX-J302KCTX-A/AHV,172.31.71.137,4,16 GiB,12.41 GiB / 80 GiB,0,0,7 KBps,Yes,No,55.94%,75.34%,2.38 ms,2025-04-22T09:33:53.521604
FM-OSAGG1,NTNX-J3014837-A/AHV,172.31.71.133,8,20 GiB,36.85 GiB / 80 GiB,0,343,3.78 MBps,Yes,No,27.61%,11.22%,6.07 ms,2025-04-22T09:33:53.521604
FM-OSAGG2,NTNX-J3014839-A/AHV,172.31.71.134,8,22 GiB,23.42 GiB / 80 GiB,0,335,3.81 MBps,Yes,No,4.39%,80.76%,5.10 ms,2025-04-22T09:33:53.521604
FM-OSCOL1,NTNX-J30212D6-A/AHV,172.31.71.135,4,10 GiB,27.75 GiB / 80 GiB,0,0,3 KBps,Yes,No,4.18%,91.19%,6.27 ms,2025-04-22T09:33:53.521604
FM-OSCOL2,NTNX-J3014837-A/AHV,172.31.71.136,4,10 GiB,24.61 GiB / 80 GiB,0,0,109 KBps,Yes,No,72.62%,54.28%,8.83 ms,2025-04-22T09:33:53.521604
FM-OSDIS1,NTNX-J3014837-A/AHV,172.31.71.131,8,20 GiB,26.58 GiB / 80 GiB,0,0,132 KBps,Yes,No,13.45%,18.96%,3.66 ms,2025-04-22T09:33:53.521604
FM-OSDIS2,NTNX-J9023FVM-A/AHV,172.31.71.132,8,20 GiB,17.78 GiB / 80 GiB,0,0,125 KBps,Yes,No,70.51%,48.92%,4.17 ms,2025-04-22T09:33:53.521604
FM-PROBESET1,NTNX-J3014838-A/AHV,193.95.52.18,2,8 GiB,12.05 GiB / 50 GiB,0,1,218 KBps,Yes,No,47.15%,60.66%,4.31 ms,2025-04-22T09:33:53.521604
FM-PROBESET2,NTNX-J3014838-A/AHV,193.95.52.20,2,8 GiB,27.78 GiB / 50 GiB,0,0,19 KBps,Yes,No,85.11%,68.79%,6.29 ms,2025-04-22T09:33:53.521604
FM-PROBESET3,NTNX-J302KCTX-A/AHV,193.95.52.22,2,8 GiB,8.27 GiB / 50 GiB,0,0,36 KBps,Yes,No,92.14%,5.33%,5.89 ms,2025-04-22T09:33:53.521604
FM-PROBESET4,NTNX-J3014837-A/AHV,193.95.52.24,2,8 GiB,23.07 GiB / 50 GiB,0,0,237 KBps,Yes,No,2.76%,71.25%,3.39 ms,2025-04-22T09:33:53.521604
FM-PROBESET5,NTNX-J3014837-A/AHV,193.95.52.26,2,8 GiB,8.84 GiB / 50 GiB,0,0,2 KBps,Yes,No,23.44%,54.67%,9.59 ms,2025-04-22T09:33:53.521604
FM-PROBESET6,NTNX-J3014839-A/AHV,193.95.52.28,4,8 GiB,10.84 GiB / 50 GiB,0,1,8 KBps,Yes,No,36.01%,65.84%,7.35 ms,2025-04-22T09:33:53.521604
FTP-Mobile,NTNX-J900RCNW-A/AHV,172.30.7.251 | 172.22.3.108,8,32 GiB,63.39 GiB / 150.05 GiB,0,0,0 KBps,Yes,No,74.45%,69.59%,4.55 ms,2025-04-22T09:33:53.521604
FTP-SERVER,,,4,8 GiB,12.57 GiB / 20.3 GiB,-,-,-,Yes,No,35.11%,29.59%,5.64 ms,2025-04-22T09:33:53.521604
FTP-Server-Ubuntu,NTNX-J9023FVL-A/AHV,172.22.3.104,4,8 GiB,4.08 GiB / 150 GiB,0,0,0 KBps,Yes,No,68.81%,73.03%,2.02 ms,2025-04-22T09:33:53.521604
